model,year,transmission,mileage,fuelType,tax,mpg,engineSize,make,price
I30,2019,Manual,3000,Petrol,145.0,34.0,2.0,hyundai,24990
3 Series,2019,Semi-Auto,8178,Petrol,145.0,47.9,2.0,bmw,23790
Focus,2013,Manual,31101,Diesel,20.0,67.3,1.6,ford,6480
Fiesta,2015,Manual,38000,Petrol,125.0,54.3,1.2,ford,6695
3 Series,2017,Automatic,45646,Diesel,145.0,56.5,3.0,bmw,17710
A1,2016,Manual,24001,Petrol,30.0,55.4,1.4,audi,11698
Insignia,2014,Manual,46587,Diesel,30.0,65.7,2.0,vauxhall,7800
Focus,2019,Automatic,9439,Diesel,,,1.5,ford,19390
Passat,2020,Manual,5000,Petrol,145.0,43.5,1.5,vw,27489
Insignia,2018,Automatic,36832,Diesel,145.0,51.4,2.0,vauxhall,14599
Mokka X,2018,Manual,37584,Petrol,150.0,39.2,1.4,vauxhall,10998
Polo,2006,Automatic,33000,Petrol,265.0,37.2,1.4,vw,3795
Focus,2018,Semi-Auto,8207,Petrol,,,1.0,ford,13350
Octavia,2019,Automatic,6825,Diesel,145.0,67.3,2.0,skoda,15650
Focus,2018,Manual,18608,Petrol,145.0,58.9,1.0,ford,14497
Fiesta,2015,Manual,55478,Petrol,20.0,62.8,1.0,ford,7500
1 Series,2019,Manual,8004,Petrol,150.0,53.3,1.5,bmw,15950
Kuga,2017,Automatic,7843,Petrol,235.0,38.2,1.5,ford,14550
Aygo,2017,Manual,23000,Petrol,150.0,68.9,1.0,toyota,7800
Golf,2016,Manual,15409,Petrol,200.0,39.8,2.0,vw,20498
Fiesta,2020,Manual,100,Petrol,145.0,56.5,1.0,ford,14995
Tucson,2019,Manual,2450,Petrol,145.0,35.3,1.6,hyundai,18495
RAV4,2008,Automatic,116000,Petrol,330.0,31.4,2.0,toyota,4480
Mondeo,2016,Manual,64351,Diesel,30.0,62.8,2.0,ford,10698
Land Cruiser,2017,Semi-Auto,30071,Diesel,300.0,38.2,2.8,toyota,31495
Polo,2016,Manual,10768,Diesel,0.0,60.1,1.4,vw,10995
Focus,2018,Manual,11856,Petrol,,,1.0,ford,13231
E Class,2018,Automatic,29679,Diesel,145.0,72.4,2.0,mercedes,21000
C Class,2019,Semi-Auto,1000,Petrol,145.0,44.1,1.5,mercedes,34579
Kuga,2017,Automatic,9298,Petrol,235.0,38.2,1.5,ford,15493
3 Series,2020,Semi-Auto,14,Diesel,150.0,50.4,2.0,bmw,28990
Superb,2017,Semi-Auto,16052,Petrol,150.0,45.6,2.0,skoda,19995
Golf,2017,Automatic,12029,Petrol,150.0,55.4,1.4,vw,14375
Fabia,2018,Manual,6000,Petrol,145.0,64.2,1.0,skoda,10995
Mokka X,2017,Manual,23941,Petrol,200.0,42.2,1.6,vauxhall,12000
Mokka,2015,Automatic,19877,Petrol,205.0,40.4,1.4,vauxhall,9998
A4,2019,Automatic,3250,Petrol,145.0,38.7,2.0,audi,27990
Insignia,2018,Manual,32255,Diesel,145.0,65.7,1.6,vauxhall,11799
Mondeo,2015,Manual,59292,Diesel,20.0,68.9,2.0,ford,9221
Tiguan,2017,Manual,26012,Diesel,150.0,58.9,2.0,vw,16491
Mokka X,2017,Manual,7269,Petrol,145.0,47.1,1.4,vauxhall,12298
M Class,2014,Semi-Auto,71657,Diesel,200.0,44.8,2.1,mercedes,15998
A5,2019,Semi-Auto,7126,Diesel,150.0,50.4,2.0,audi,29950
Golf,2019,Manual,10323,Diesel,145.0,57.7,1.6,vw,15999
E Class,2015,Automatic,31000,Diesel,125.0,57.7,2.1,mercedes,16490
Zafira,2016,Manual,31734,Petrol,200.0,42.2,1.4,vauxhall,9930
Mokka X,2019,Manual,7593,Petrol,145.0,39.2,1.4,vauxhall,14495
Superb,2018,Semi-Auto,7220,Petrol,145.0,43.5,2.0,skoda,22995
Fiesta,2018,Manual,21590,Petrol,145.0,65.7,1.0,ford,9500
C Class,2016,Semi-Auto,17410,Diesel,30.0,61.4,2.1,mercedes,20500
Fiesta,2015,Manual,23897,Petrol,0.0,65.7,1.0,ford,7900
Focus,2016,Manual,7997,Petrol,235.0,36.7,2.3,ford,24995
B Class,2019,Automatic,14421,Petrol,145.0,45.6,1.3,mercedes,20248
S Class,2019,Automatic,1912,Petrol,145.0,34.0,4.0,mercedes,86399
Octavia,2019,Automatic,15406,Diesel,145.0,72.4,1.6,skoda,13690
Focus,2019,Manual,4596,Diesel,,,1.5,ford,16920
Insignia,2018,Manual,20331,Diesel,145.0,61.4,1.6,vauxhall,13660
Tucson,2019,Manual,12077,Petrol,145.0,34.9,1.6,hyundai,15498
M5,2019,Semi-Auto,3153,Petrol,145.0,24.1,4.4,bmw,70686
Superb,2019,Semi-Auto,3890,Petrol,145.0,30.1,2.0,skoda,29995
E Class,2016,Semi-Auto,25891,Diesel,150.0,54.3,3.0,mercedes,20498
X5,2019,Automatic,11918,Diesel,145.0,37.7,3.0,bmw,44875
T-Roc,2019,Manual,4000,Diesel,145.0,50.4,2.0,vw,20995
A3,2015,Semi-Auto,33507,Diesel,20.0,72.4,1.6,audi,13498
M Class,2013,Semi-Auto,84413,Diesel,205.0,44.8,2.1,mercedes,14250
Focus,2019,Manual,7462,Petrol,,,1.0,ford,15799
Passat,2019,Semi-Auto,18040,Diesel,145.0,53.3,2.0,vw,16346
Polo,2017,Automatic,19246,Petrol,145.0,60.1,1.2,vw,12000
Citigo,2017,Manual,13180,Petrol,145.0,64.2,1.0,skoda,6990
RAV4,2016,Automatic,57000,Hybrid,20.0,55.4,2.5,toyota,18795
Aygo,2017,Manual,24996,Petrol,145.0,68.9,1.0,toyota,7200
Touran,2016,Manual,41210,Diesel,30.0,64.2,2.0,vw,14960
Mokka X,2018,Manual,22957,Petrol,145.0,39.2,1.4,vauxhall,11600
Corsa,2019,Manual,2500,Petrol,145.0,43.5,1.4,vauxhall,9250
Focus,2019,Manual,6283,Petrol,,,1.0,ford,15950
Aygo,2017,Manual,31245,Petrol,145.0,68.9,1.0,toyota,7258
Focus,2011,Manual,86000,Petrol,200.0,42.2,1.6,ford,3295
A4,2017,Automatic,41252,Petrol,30.0,53.3,2.0,audi,16800
Corsa,2018,Manual,19654,Petrol,145.0,55.4,1.4,vauxhall,7999
Auris,2015,Automatic,14383,Hybrid,0.0,76.4,1.8,toyota,13590
Corsa,2018,Manual,11891,Petrol,145.0,55.4,1.4,vauxhall,7999
Aygo,2019,Manual,2106,Petrol,145.0,56.5,1.0,toyota,8790
CL Class,2017,Manual,16912,Diesel,145.0,67.3,2.1,mercedes,19950
Yaris,2019,Automatic,6000,Petrol,145.0,47.9,1.5,toyota,12495
Ka+,2018,Manual,14782,Petrol,145.0,57.7,1.2,ford,7830
3 Series,2016,Manual,52713,Diesel,30.0,64.2,2.0,bmw,13999
Focus,2019,Manual,3572,Diesel,145.0,70.6,2.0,ford,20499
A4,2017,Manual,35000,Petrol,125.0,49.6,2.0,audi,17490
C-HR,2017,Automatic,27965,Hybrid,0.0,74.3,1.8,toyota,21171
Ioniq,2017,Automatic,23700,Hybrid,135.0,78.5,1.6,hyundai,15999
C Class,2014,Semi-Auto,66140,Diesel,125.0,60.1,2.1,mercedes,15998
Focus,2019,Automatic,5367,Petrol,150.0,50.4,1.0,ford,16000
Golf,2011,Manual,61422,Petrol,305.0,33.2,2.0,vw,14999
Astra,2017,Semi-Auto,29500,Petrol,125.0,51.4,1.4,vauxhall,10495
X3,2019,Semi-Auto,8988,Diesel,150.0,36.7,3.0,bmw,39875
Focus,2017,Manual,27500,Petrol,150.0,61.4,1.0,ford,10595
Q3,2019,Automatic,4398,Diesel,150.0,40.9,2.0,audi,28000
3 Series,2019,Automatic,1241,Diesel,145.0,62.8,2.0,bmw,24950
Polo,2017,Manual,11854,Petrol,145.0,61.4,1.4,vw,13171
Focus,2018,Manual,9500,Petrol,,,1.0,ford,13990
Fabia,2018,Manual,10880,Petrol,145.0,64.2,1.0,skoda,9995
A4,2019,Semi-Auto,5505,Diesel,150.0,40.4,3.0,audi,43990
3 Series,2019,Semi-Auto,4665,Diesel,150.0,52.3,2.0,bmw,27440
C Class,2019,Semi-Auto,16,Diesel,145.0,61.4,2.0,mercedes,36980
Viva,2019,Manual,7294,Petrol,145.0,46.3,1.0,vauxhall,7494
E Class,2013,Automatic,45378,Diesel,200.0,45.6,3.0,mercedes,15775
3 Series,2020,Semi-Auto,986,Diesel,150.0,50.4,2.0,bmw,31000
T-Roc,2019,Semi-Auto,7999,Petrol,150.0,39.8,1.5,vw,25990
GTC,2015,Manual,33217,Diesel,125.0,60.1,2.0,vauxhall,7280
Mokka X,2018,Manual,12001,Petrol,140.0,47.1,1.4,vauxhall,11999
Yaris,2016,Manual,40254,Diesel,0.0,80.7,1.4,toyota,6895
E Class,2017,Semi-Auto,16012,Diesel,145.0,61.4,2.0,mercedes,22380
Fiesta,2018,Manual,9440,Petrol,145.0,65.7,1.0,ford,10160
CL Class,2018,Semi-Auto,17107,Diesel,145.0,67.3,2.1,mercedes,21495
Golf,2015,Semi-Auto,45743,Petrol,30.0,56.5,1.4,vw,10990
RS6,2017,Semi-Auto,30921,Petrol,150.0,29.4,4.0,audi,53990
Crossland X,2019,Manual,3767,Diesel,145.0,62.8,1.5,vauxhall,14299
Octavia,2018,Semi-Auto,2500,Petrol,150.0,56.5,1.5,skoda,16410
Focus,2013,Manual,64960,Petrol,,,1.6,ford,6120
Yaris,2014,Automatic,30214,Hybrid,0.0,76.3,1.5,toyota,10495
Yaris,2018,Automatic,12936,Petrol,145.0,60.1,1.5,toyota,11995
A7,2013,Automatic,93080,Diesel,145.0,55.4,3.0,audi,12000
Corsa,2015,Manual,32885,Petrol,125.0,54.3,1.4,vauxhall,7194
A3,2019,Automatic,4500,Diesel,145.0,52.3,1.6,audi,27000
C Class,2019,Semi-Auto,12030,Petrol,,,1.5,mercedes,28799
X3,2012,Automatic,73701,Diesel,160.0,50.4,2.0,bmw,11753
A6,2019,Semi-Auto,5695,Petrol,145.0,34.0,2.0,audi,36990
A6,2016,Semi-Auto,44887,Diesel,20.0,64.2,2.0,audi,16450
Focus,2014,Manual,45153,Petrol,,,1.0,ford,7490
C Class,2019,Semi-Auto,1273,Petrol,,,1.5,mercedes,35399
Focus,2017,Manual,19686,Petrol,,,1.0,ford,10497
C Class,2015,Automatic,85275,Diesel,30.0,64.2,2.1,mercedes,12300
A3,2016,Semi-Auto,35273,Petrol,30.0,56.5,1.4,audi,17990
Golf,2019,Manual,15293,Petrol,145.0,49.6,1.0,vw,11490
Focus,2015,Manual,55000,Diesel,0.0,74.3,1.5,ford,7990
Touran,2013,Manual,37627,Diesel,145.0,55.4,1.6,vw,10500
Octavia,2018,Automatic,33444,Petrol,145.0,57.7,1.5,skoda,11000
Polo,2017,Manual,15112,Petrol,150.0,58.9,1.0,vw,9499
Focus,2015,Manual,39588,Diesel,0.0,74.3,1.5,ford,8497
Fiesta,2017,Manual,26850,Petrol,0.0,65.7,1.0,ford,7990
Aygo,2019,Manual,7179,Petrol,145.0,56.5,1.0,toyota,8199
X5,2019,Automatic,6560,Petrol,145.0,27.2,3.0,bmw,49488
A1,2019,Semi-Auto,9021,Petrol,150.0,40.9,2.0,audi,21495
A4,2016,Manual,45000,Diesel,0.0,74.3,2.0,audi,12990
C Class,2019,Semi-Auto,1357,Petrol,145.0,46.3,1.5,mercedes,29199
Up,2017,Manual,30000,Petrol,145.0,64.2,1.0,vw,6991
Fiesta,2015,Manual,31563,Petrol,0.0,65.7,1.0,ford,7995
Kuga,2018,Manual,12000,Diesel,150.0,60.1,2.0,ford,17950
Fiesta,2017,Manual,24000,Petrol,145.0,65.7,1.0,ford,9990
C Class,2014,Semi-Auto,53144,Diesel,20.0,64.2,2.1,mercedes,13791
1 Series,2019,Manual,10624,Diesel,145.0,65.7,2.0,bmw,18498
Yaris,2014,Automatic,49628,Hybrid,0.0,78.0,1.5,toyota,10495
A6,2019,Automatic,50,Diesel,145.0,47.9,2.0,audi,31900
3 Series,2020,Semi-Auto,11,Petrol,145.0,34.9,3.0,bmw,38555
1 Series,2015,Manual,50127,Diesel,125.0,57.6,2.0,bmw,11499
Yaris,2015,Automatic,39000,Hybrid,0.0,86.0,1.5,toyota,9995
3 Series,2014,Manual,70643,Diesel,30.0,62.8,2.0,bmw,9990
Kuga,2019,Manual,1428,Diesel,145.0,54.3,1.5,ford,19500
Polo,2019,Manual,3205,Petrol,145.0,52.3,1.0,vw,15985
Fiesta,2016,Manual,20615,Petrol,20.0,62.8,1.0,ford,10800
Scirocco,2014,Manual,39864,Diesel,20.0,55.4,2.0,vw,11500
X1,2020,Semi-Auto,19,Diesel,145.0,60.1,2.0,bmw,25980
3 Series,2019,Semi-Auto,4327,Diesel,145.0,49.6,2.0,bmw,32990
A1,2017,Manual,13000,Petrol,145.0,55.4,1.4,audi,14490
Focus,2018,Manual,12130,Petrol,145.0,41.5,2.0,ford,19000
A6,2019,Automatic,11000,Diesel,145.0,50.4,2.0,audi,28990
Yaris,2018,Automatic,20675,Hybrid,135.0,76.3,1.5,toyota,13780
Focus,2019,Manual,7864,Petrol,145.0,60.1,1.0,ford,16640
Tiguan,2014,Semi-Auto,54308,Diesel,200.0,47.7,2.0,vw,10500
Focus,2003,Manual,89630,Petrol,,,1.6,ford,1695
Focus,2018,Manual,9738,Petrol,,,1.0,ford,13000
Fabia,2019,Manual,2841,Petrol,145.0,60.1,1.0,skoda,14499
C Class,2019,Automatic,1000,Diesel,,,2.0,mercedes,32069
Mokka X,2017,Manual,35399,Petrol,150.0,47.1,1.4,vauxhall,11498
Q5,2016,Automatic,44419,Diesel,235.0,42.2,3.0,audi,28698
Fiesta,2018,Manual,28733,Petrol,145.0,65.7,1.0,ford,12000
Fiesta,2017,Automatic,12874,Petrol,145.0,54.3,1.0,ford,10710
Focus,2018,Manual,13420,Petrol,145.0,60.1,1.0,ford,12600
I40,2019,Semi-Auto,2450,Diesel,145.0,53.3,1.6,hyundai,19490
C Class,2017,Automatic,20142,Diesel,145.0,58.9,2.1,mercedes,23952
Astra,2016,Manual,20533,Petrol,20.0,64.2,1.0,vauxhall,8750
Fiesta,2017,Semi-Auto,18331,Petrol,145.0,54.3,1.0,ford,11390
X5,2017,Automatic,35061,Diesel,145.0,47.1,3.0,bmw,28400
Polo,2019,Semi-Auto,3490,Petrol,145.0,39.8,2.0,vw,20890
Polo,2016,Manual,41117,Petrol,20.0,60.1,1.0,vw,7799
Aygo,2019,Manual,355,Petrol,145.0,57.7,1.0,toyota,10995
I30,2019,Manual,2813,Petrol,145.0,45.6,1.0,hyundai,13750
Touran,2016,Manual,30866,Diesel,30.0,64.2,2.0,vw,15950
Focus,2019,Automatic,7766,Diesel,145.0,64.2,2.0,ford,18998
C Class,2019,Automatic,10454,Diesel,145.0,64.2,2.0,mercedes,25890
C Class,2020,Semi-Auto,100,Diesel,145.0,64.2,2.0,mercedes,30500
Golf,2016,Manual,60246,Petrol,145.0,47.1,2.0,vw,14995
GLA Class,2018,Semi-Auto,6500,Diesel,145.0,67.3,2.1,mercedes,22299
Polo,2017,Automatic,14004,Petrol,145.0,50.4,1.8,vw,15500
1 Series,2020,Manual,3399,Diesel,150.0,53.3,2.0,bmw,23990
Mokka,2016,Manual,47939,Diesel,30.0,65.7,1.6,vauxhall,9000
Passat,2016,Manual,33781,Diesel,20.0,68.9,2.0,vw,13698
C Class,2017,Automatic,30676,Diesel,,,2.1,mercedes,22767
Santa Fe,2015,Semi-Auto,46045,Diesel,265.0,42.2,2.2,hyundai,16990
Tiguan,2020,Manual,2000,Diesel,145.0,47.9,2.0,vw,28995
Fiesta,2017,Manual,6555,Petrol,145.0,64.2,1.1,ford,9800
GLA Class,2016,Semi-Auto,27292,Diesel,125.0,56.5,2.1,mercedes,18495
Scirocco,2015,Manual,48387,Diesel,30.0,53.3,2.0,vw,14000
C Class,2019,Automatic,1812,Petrol,,,1.5,mercedes,30799
Galaxy,2017,Semi-Auto,27829,Diesel,145.0,52.3,2.0,ford,19945
GLC Class,2019,Automatic,8268,Diesel,150.0,44.8,2.0,mercedes,30000
Octavia,2017,Semi-Auto,13540,Petrol,165.0,44.1,2.0,skoda,18900
CC,2015,Manual,68345,Diesel,30.0,62.8,2.0,vw,9000
Yeti Outdoor,2017,Manual,18065,Petrol,145.0,51.4,1.2,skoda,14695
C-HR,2019,Automatic,2223,Hybrid,140.0,74.3,1.8,toyota,24995
GLE Class,2019,Automatic,31,Diesel,150.0,36.7,2.0,mercedes,43900
Golf,2020,Semi-Auto,246,Petrol,145.0,43.5,1.5,vw,23195
Yaris,2016,Automatic,15659,Other,0.0,78.0,1.5,toyota,13595
A3,2016,Manual,35500,Petrol,20.0,60.1,1.0,audi,11995
Yaris,2017,Manual,12077,Petrol,145.0,58.9,1.5,toyota,9993
Fiesta,2018,Manual,20830,Petrol,145.0,56.5,1.0,ford,10600
Polo,2019,Manual,1997,Petrol,145.0,52.3,1.0,vw,14750
Focus,2015,Manual,46660,Diesel,,,1.5,ford,7600
C Class,2018,Semi-Auto,6501,Diesel,145.0,65.7,1.6,mercedes,18449
2 Series,2014,Manual,43960,Diesel,30.0,62.8,2.0,bmw,11647
C Class,2016,Automatic,16957,Petrol,160.0,44.8,2.0,mercedes,20200
5 Series,2019,Automatic,677,Petrol,145.0,50.4,2.0,bmw,28495
Fiesta,2018,Manual,20100,Petrol,145.0,56.5,1.0,ford,10600
Kuga,2017,Manual,25594,Diesel,145.0,64.2,1.5,ford,13999
Passat,2019,Semi-Auto,10,Hybrid,135.0,41.5,1.4,vw,34498
Golf SV,2019,Manual,5212,Diesel,145.0,55.4,1.6,vw,17990
C Class,2015,Semi-Auto,19039,Diesel,30.0,64.2,2.1,mercedes,17749
I30,2018,Semi-Auto,9578,Petrol,145.0,52.3,1.4,hyundai,13975
RAV4,2017,Manual,34633,Diesel,125.0,60.1,2.0,toyota,16295
CL Class,2016,Semi-Auto,48182,Diesel,20.0,67.3,2.1,mercedes,17899
Focus,2017,Automatic,9137,Petrol,,,1.0,ford,14000
Grand Tourneo Connect,2017,Manual,39494,Diesel,30.0,64.2,1.5,ford,13200
Focus,2019,Automatic,7886,Petrol,,,1.0,ford,17610
Fiesta,2018,Manual,7804,Petrol,145.0,65.7,1.0,ford,10950
T-Roc,2019,Manual,11180,Diesel,145.0,50.4,1.6,vw,19890
Touran,2017,Manual,46734,Diesel,30.0,61.4,1.6,vw,14989
Yaris,2018,Manual,5599,Petrol,145.0,58.9,1.5,toyota,10495
Corsa,2014,Manual,49000,Petrol,125.0,51.4,1.2,vauxhall,4399
C Class,2019,Semi-Auto,8912,Diesel,145.0,61.4,2.0,mercedes,26599
Astra,2016,Semi-Auto,19983,Diesel,30.0,62.8,1.6,vauxhall,9495
C Class,2019,Semi-Auto,5230,Diesel,,,2.0,mercedes,29699
Yeti Outdoor,2016,Semi-Auto,44432,Diesel,160.0,51.4,2.0,skoda,13995
Polo,2017,Manual,5341,Petrol,20.0,60.1,1.0,vw,10498
Mustang,2018,Manual,5000,Petrol,145.0,20.9,5.0,ford,30500
Kuga,2015,Manual,33962,Diesel,125.0,60.1,2.0,ford,11400
C Class,2020,Semi-Auto,100,Diesel,,,2.0,mercedes,34500
1 Series,2019,Semi-Auto,2973,Diesel,145.0,48.7,2.0,bmw,28994
A1,2018,Manual,9938,Petrol,145.0,65.7,1.0,audi,15000
C Class,2012,Automatic,54275,Diesel,145.0,56.5,2.1,mercedes,9099
Ka+,2018,Manual,23043,Petrol,150.0,57.7,1.2,ford,8300
3 Series,2020,Automatic,5980,Hybrid,135.0,8.8,2.0,bmw,43880
C Class,2019,Automatic,2591,Petrol,,,1.5,mercedes,26750
Passat,2015,Manual,76225,Diesel,20.0,70.6,1.6,vw,7390
Golf,2017,Semi-Auto,20577,Petrol,145.0,39.8,2.0,vw,25999
Fiesta,2014,Manual,35009,Petrol,30.0,54.3,1.2,ford,6891
Tucson,2017,Semi-Auto,27911,Diesel,125.0,57.6,1.7,hyundai,16457
C-HR,2019,Automatic,6354,Hybrid,140.0,74.3,1.8,toyota,23699
1 Series,2016,Manual,22265,Diesel,20.0,70.6,1.5,bmw,14298
Fabia,2017,Manual,15801,Petrol,150.0,57.7,1.0,skoda,6741
Touran,2017,Manual,9550,Diesel,145.0,61.4,1.6,vw,18870
Polo,2016,Manual,14224,Petrol,20.0,58.9,1.0,vw,9300
C Class,2013,Automatic,39000,Petrol,,,6.2,mercedes,22948
A3,2018,Semi-Auto,16354,Petrol,145.0,56.5,1.5,audi,19698
Focus,2019,Automatic,8421,Petrol,145.0,50.4,1.0,ford,15295
E Class,2019,Automatic,14499,Diesel,145.0,72.4,2.0,mercedes,24480
Focus,2017,Manual,23874,Diesel,,,2.0,ford,16995
Fiesta,2016,Manual,15411,Petrol,125.0,54.3,1.2,ford,8100
Q3,2016,Manual,52034,Diesel,145.0,52.3,2.0,audi,15888
Focus,2019,Manual,3379,Petrol,145.0,58.9,1.0,ford,18000
Q2,2019,Semi-Auto,7779,Diesel,150.0,47.9,1.6,audi,20498
X4,2019,Automatic,4000,Diesel,145.0,37.2,3.0,bmw,41530
Octavia,2018,Semi-Auto,15518,Petrol,145.0,44.1,2.0,skoda,20750
EcoSport,2018,Semi-Auto,12803,Petrol,145.0,48.7,1.0,ford,12980
I10,2017,Manual,30318,Petrol,145.0,57.7,1.2,hyundai,7750
A3,2016,Semi-Auto,15226,Diesel,125.0,57.6,2.0,audi,19495
Adam,2017,Manual,8607,Petrol,150.0,53.3,1.2,vauxhall,7821
M4,2017,Semi-Auto,9215,Petrol,300.0,34.0,3.0,bmw,35352
C Class,2015,Semi-Auto,55226,Diesel,30.0,64.2,2.1,mercedes,16310
Q3,2018,Semi-Auto,17211,Petrol,145.0,47.9,1.4,audi,23411
T-Cross,2019,Automatic,4000,Petrol,145.0,45.6,1.0,vw,19890
Polo,2017,Manual,43676,Petrol,20.0,60.1,1.2,vw,9290
Q2,2019,Semi-Auto,3772,Petrol,145.0,33.2,2.0,audi,26995
A4,2015,Manual,29000,Diesel,20.0,68.9,2.0,audi,14990
Fabia,2018,Manual,14592,Petrol,145.0,64.2,1.0,skoda,9400
Fiesta,2017,Manual,10000,Petrol,150.0,65.7,1.0,ford,10990
Corsa,2018,Manual,29707,Petrol,145.0,54.3,1.4,vauxhall,8290
Golf,2014,Manual,34329,Diesel,20.0,67.3,2.0,vw,14989
4 Series,2019,Semi-Auto,4919,Diesel,150.0,51.4,3.0,bmw,31495
Kuga,2017,Manual,16729,Diesel,150.0,60.1,2.0,ford,15985
A3,2018,Semi-Auto,15414,Petrol,145.0,56.5,1.5,audi,20960
Golf,2013,Automatic,32448,Petrol,30.0,56.5,1.4,vw,10099
Mondeo,2011,Manual,104000,Diesel,200.0,47.1,2.2,ford,5495
Fiesta,2017,Manual,17226,Petrol,145.0,54.3,1.2,ford,8374
E Class,2013,Automatic,53300,Diesel,125.0,58.9,2.1,mercedes,11795
A4,2020,Semi-Auto,5233,Diesel,145.0,39.2,3.0,audi,42840
Focus,2019,Manual,10868,Petrol,,,1.0,ford,14898
Focus,2019,Manual,11645,Petrol,,,1.0,ford,15435
5 Series,2019,Automatic,6456,Diesel,145.0,60.1,2.0,bmw,27916
B Class,2017,Semi-Auto,8645,Petrol,125.0,51.4,1.6,mercedes,17490
C Class,2020,Semi-Auto,9,Diesel,145.0,55.4,2.0,mercedes,35980
S-MAX,2017,Manual,36500,Diesel,125.0,56.5,2.0,ford,16250
Kuga,2019,Manual,6481,Diesel,145.0,37.7,2.0,ford,21000
Astra,2019,Manual,9056,Petrol,145.0,47.9,1.4,vauxhall,14280
Golf,2016,Manual,33169,Diesel,20.0,68.9,2.0,vw,11698
A Class,2019,Semi-Auto,14521,Diesel,145.0,65.7,1.5,mercedes,18499
Galaxy,2016,Automatic,22040,Diesel,150.0,52.3,2.0,ford,18000
Golf,2015,Manual,46898,Petrol,200.0,39.8,2.0,vw,17450
Astra,2017,Manual,10969,Petrol,125.0,51.4,1.4,vauxhall,10790
T-Roc,2020,Semi-Auto,1024,Petrol,145.0,39.8,1.5,vw,25480
Yaris,2014,Manual,47481,Diesel,0.0,72.4,1.4,toyota,6100
2 Series,2020,Semi-Auto,18,Diesel,150.0,49.6,2.0,bmw,23990
Focus,2018,Manual,14682,Petrol,,,2.0,ford,18390
Amarok,2017,Automatic,37683,Diesel,260.0,36.2,3.0,vw,23495
Fabia,2017,Manual,39001,Petrol,20.0,60.1,1.2,skoda,7683
Astra,2018,Manual,22981,Petrol,145.0,51.4,1.4,vauxhall,9999
A Class,2017,Automatic,64106,Diesel,145.0,70.6,2.1,mercedes,12999
Golf,2019,Semi-Auto,14046,Petrol,145.0,37.7,2.0,vw,23500
Focus,2019,Manual,23477,Petrol,145.0,60.1,1.0,ford,14800
Q3,2020,Manual,1500,Petrol,145.0,40.9,0.0,audi,30990
Mokka X,2019,Manual,12523,Petrol,145.0,39.2,1.4,vauxhall,14000
I20,2018,Manual,8701,Petrol,150.0,47.9,1.0,hyundai,10990
Mokka X,2019,Manual,14098,Petrol,145.0,39.2,1.4,vauxhall,14470
X3,2013,Semi-Auto,47111,Diesel,160.0,50.4,2.0,bmw,14000
Superb,2019,Automatic,1889,Petrol,145.0,36.7,1.5,skoda,20995
2 Series,2019,Semi-Auto,6100,Diesel,145.0,62.8,2.0,bmw,21995
2 Series,2018,Semi-Auto,18323,Diesel,145.0,56.5,1.5,bmw,16470
Fiesta,2016,Manual,19256,Petrol,0.0,65.7,1.0,ford,9698
Corsa,2015,Manual,32127,Petrol,30.0,55.4,1.4,vauxhall,6926
Tiguan,2017,Manual,27897,Diesel,150.0,58.9,2.0,vw,17790
Auris,2017,Automatic,25201,Hybrid,0.0,78.5,1.8,toyota,15490
Tiguan,2019,Automatic,7240,Diesel,145.0,46.3,2.0,vw,22992
Fiesta,2015,Manual,30540,Petrol,125.0,54.3,1.2,ford,5999
Corsa,2019,Manual,100,Petrol,145.0,43.5,1.4,vauxhall,10990
Corsa,2014,Manual,27960,Petrol,30.0,55.4,1.0,vauxhall,5200
Q3,2016,Manual,14997,Petrol,125.0,50.4,1.4,audi,16150
C Class,2016,Automatic,22000,Diesel,,,2.1,mercedes,17949
A Class,2014,Manual,52251,Diesel,20.0,72.4,1.5,mercedes,9700
Crossland X,2019,Manual,10000,Petrol,145.0,47.1,1.2,vauxhall,11995
Fiesta,2019,Manual,6432,Petrol,145.0,58.9,1.0,ford,13998
Astra,2016,Manual,20205,Petrol,125.0,51.4,1.4,vauxhall,9498
GLC Class,2019,Automatic,100,Diesel,145.0,44.8,2.0,mercedes,31995
Focus,2013,Manual,83772,Diesel,0.0,76.4,1.6,ford,4999
Fabia,2019,Manual,1536,Petrol,145.0,49.6,1.0,skoda,14495
E Class,2017,Automatic,38255,Diesel,150.0,65.7,2.0,mercedes,19000
A5,2019,Automatic,8955,Diesel,145.0,44.1,2.0,audi,30950
Aygo,2013,Manual,36200,Petrol,0.0,65.7,1.0,toyota,4495
A3,2013,Semi-Auto,45618,Diesel,30.0,62.8,2.0,audi,9698
Ka+,2018,Manual,25000,Petrol,145.0,47.9,1.2,ford,8888
Fiesta,2016,Manual,16460,Petrol,125.0,54.3,1.2,ford,7200
Yaris,2018,Manual,789,Petrol,145.0,37.7,1.8,toyota,25995
GLA Class,2018,Automatic,8941,Diesel,145.0,56.5,2.1,mercedes,26072
I20,2017,Manual,14225,Petrol,145.0,58.9,1.2,hyundai,8260
Golf,2018,Manual,13398,Petrol,145.0,49.6,1.0,vw,14672
Mokka,2014,Manual,33139,Petrol,200.0,43.5,1.6,vauxhall,8495
E Class,2019,Semi-Auto,15107,Diesel,145.0,72.4,2.0,mercedes,25780
Citigo,2017,Manual,71964,Petrol,20.0,64.2,1.0,skoda,5000
